Frequency,Magnitude
1.514189325304352018e-01,9.027545909699410303e-04
1.524695727017573721e-01,9.153255865956301789e-04
1.535275028780422601e-01,9.280716320060190642e-04
1.545927736419477616e-01,9.409951646573010576e-04
1.556654359271061605e-01,9.540986559460470570e-04
1.567455410205594868e-01,9.673846116809132296e-04
1.578331405652117214e-01,9.808555725504674184e-04
1.589282865622977936e-01,9.945141146334207562e-04
1.600310313738700918e-01,1.008362849858695631e-03
1.611414277253019334e-01,1.022404426532963657e-03
1.622595287078087423e-01,1.036641529833449722e-03
1.633853877809861299e-01,1.051076882316135698e-03
1.645190587753662392e-01,1.065713244456722910e-03
1.656605958949914359e-01,1.080553415151069493e-03
1.668100537200058742e-01,1.095600232275383131e-03
1.679674872092653537e-01,1.110856573209743252e-03
1.691329517029648011e-01,1.126325355402092374e-03
1.703065029252844309e-01,1.142009536912912387e-03
1.714881969870540035e-01,1.157912116990726442e-03
1.726780903884355400e-01,1.174036136647565922e-03
1.738762400216250781e-01,1.190384679222837323e-03
1.750827031735724126e-01,1.206960870997292497e-03
1.762975375287205715e-01,1.223767881772254342e-03
1.775208011717634982e-01,1.240808925473874981e-03
1.787525525904234969e-01,1.258087260790141833e-03
1.799928506782476900e-01,1.275606191767347970e-03
1.812417547374236826e-01,1.293369068452807601e-03
1.824993244816152382e-01,1.311379287541386421e-03
1.837656200388171346e-01,1.329640293012352217e-03
1.850407019542301690e-01,1.348155576798962512e-03
1.863246311931560373e-01,1.366928679442586505e-03
1.876174691439120579e-01,1.385963190789201533e-03
1.889192776207666291e-01,1.405262750649211414e-03
1.902301188668944765e-01,1.424831049520848677e-03
1.915500555573527997e-01,1.444671829274964472e-03
1.928791508020778200e-01,1.464788883878336261e-03
1.942174681489025334e-01,1.485186060120779116e-03
1.955650715865949185e-01,1.505867258340279433e-03
1.969220255479172399e-01,1.526836433186639719e-03
1.982883949127071388e-01,1.548097594360000901e-03
1.996642450109794020e-01,1.569654807384018120e-03
2.010496416260497965e-01,1.591512194380905040e-03
2.024446509976803865e-01,1.613673934863775515e-03
2.038493398252463062e-01,1.636144266525064138e-03
2.052637752709252084e-01,1.658927486057668434e-03
2.066880249629082511e-01,1.682027949981807196e-03
2.081221569986338171e-01,1.705450075450603079e-03
2.095662399480432980e-01,1.729198341123085224e-03
2.110203428568595552e-01,1.753277288002413935e-03
2.124845352498882789e-01,1.777691520310668329e-03
2.139588871343422183e-01,1.802445706365487545e-03
2.154434690031883370e-01,1.827544579483631826e-03
2.169383518385184229e-01,1.852992938859397481e-03
2.184436071149427339e-01,1.878795650512366574e-03
2.199593068030074872e-01,1.904957648194581434e-03
2.214855233726359951e-01,1.931483934353551458e-03
2.230223297965937546e-01,1.958379581052751596e-03
2.245697995539774061e-01,1.985649730994224708e-03
2.261280066337278405e-01,2.013299598444681475e-03
2.276970255381680075e-01,2.041334470277197076e-03
2.292769312865649278e-01,2.069759706953034316e-03
2.308677994187168514e-01,2.098580743555427362e-03
2.324697059985647851e-01,2.127803090834829835e-03
2.340827276178293059e-01,2.157432336242490374e-03
2.357069413996727703e-01,2.187474145027542942e-03
2.373424250023866700e-01,2.217934261283856495e-03
2.389892566231049675e-01,2.248818509081603779e-03
2.406475150015424114e-01,2.280132793558221557e-03
2.423172794237599403e-01,2.311883102042028293e-03
2.439986297259550130e-01,2.344075505223915806e-03
2.456916462982790816e-01,2.376716158292278662e-03
2.473964100886813511e-01,2.409811302114084168e-03
2.491130026067788494e-01,2.443367264429304516e-03
2.508415059277540049e-01,2.477390461064484656e-03
2.525820026962784515e-01,2.511887397151956261e-03
2.543345761304649510e-01,2.546864668370104733e-03
2.560993100258458499e-01,2.582328962212409630e-03
2.578762887593800679e-01,2.618287059256323331e-03
2.596655972934870937e-01,2.654745834468627465e-03
2.614673211801092356e-01,2.691712258495192016e-03
2.632815465648021269e-01,2.729193399029618359e-03
2.651083601908538201e-01,2.767196422135429022e-03
2.669478494034320804e-01,2.805728593616282386e-03
2.688001021537606006e-01,2.844797280411062029e-03
2.706652070033241375e-01,2.884409952009988742e-03
2.725432531281029025e-01,2.924574181855102255e-03
2.744343303228364839e-01,2.965297648811890483e-03
2.763385290053169685e-01,3.006588138627202741e-03
2.782559402207124277e-01,3.048453545408164392e-03
2.801866556459195468e-01,3.090901873145216784e-03
2.821307675939472293e-01,3.133941237221430330e-03
2.840883690183303445e-01,3.177579865985213046e-03
2.860595535175741722e-01,3.221826102295786975e-03
2.880444153396296558e-01,3.266688405147466154e-03
2.900430493863991877e-01,3.312175351249341780e-03
2.920555512182746449e-01,3.358295636691461996e-03
2.940820170587062909e-01,3.405058078597250973e-03
2.961225437988034281e-01,3.452471616791079074e-03
2.981772290019671923e-01,3.500545315529171239e-03
3.002461709085549324e-01,3.549288365228296660e-03
3.023294684405777866e-01,3.598710084192235838e-03
3.044272212064301764e-01,3.648819920424694122e-03
3.065395295056526637e-01,3.699627453414909822e-03
3.086664943337272815e-01,3.751142395974996126e-03
3.108082173869063936e-01,3.803374596080797993e-03
3.129648010670751934e-01,3.856334038768323078e-03
3.151363484866478437e-01,3.910030848035597577e-03
3.173229634734976989e-01,3.964475288761517592e-03
3.195247505759211681e-01,4.019677768687942437e-03
3.217418150676371602e-01,4.075648840382127026e-03
3.239742629528197249e-01,4.132399203279736068e-03
3.262222009711668869e-01,4.189939705692744855e-03
3.284857366030044523e-01,4.248281346913321439e-03
3.307649780744240653e-01,4.307435279286433473e-03
3.330600343624588455e-01,4.367412810357200817e-03
3.353710152002930545e-01,4.428225405021650810e-03
3.376980310825090648e-01,4.489884687704000059e-03
3.400411932703706896e-01,4.552402444602855064e-03
3.424006137971423724e-01,4.615790625913796311e-03
3.447764054734464012e-01,4.680061348113132187e-03
3.471686818926561502e-01,4.745226896287414904e-03
3.495775574363274574e-01,4.811299726458555422e-03
3.520031472796679717e-01,4.878292467979721166e-03
3.544455673970434706e-01,4.946217925917179015e-03
3.569049345675229801e-01,5.015089083518294195e-03
3.593813663804627523e-01,5.084919104686653687e-03
3.618749812411279354e-01,5.155721336475849181e-03
3.643858983763545445e-01,5.227509311652028812e-03
3.669142378402492910e-01,5.300296751275072014e-03
3.694601205199302685e-01,5.374097567304161535e-03
3.720236681413067736e-01,5.448925865258577757e-03
3.746050032748992065e-01,5.524795946918252022e-03
3.772042493416998266e-01,5.601722313029399228e-03
3.798215306190735330e-01,5.679719666096132852e-03
3.824569722466998889e-01,5.758802913159758244e-03
3.851107002325570572e-01,5.838987168660159967e-03
3.877828414589456485e-01,5.920287757309874305e-03
3.904735236885560901e-01,6.002720217019376879e-03
3.931828755705769063e-01,6.086300301856209516e-03
3.959110266468458539e-01,6.171043985057193121e-03
3.986581073580440782e-01,6.256967462060954166e-03
4.014242490499320692e-01,6.344087153616602068e-03
4.042095839796306933e-01,6.432419708885687981e-03
4.070142453219438017e-01,6.521982008649177681e-03
4.098383671757261371e-01,6.612791168494155936e-03
4.126820845702953711e-01,6.704864542101627092e-03
4.155455334718875515e-01,6.798219724540978740e-03
4.184288507901581244e-01,6.892874555625010634e-03
4.213321743847288081e-01,6.988847123319740125e-03
4.242556430717777105e-01,7.086155767178098190e-03
4.271993966306779078e-01,7.184819081847601020e-03
4.301635758106794882e-01,7.284855920601860171e-03
4.331483223376399461e-01,7.386285398953688040e-03
4.361537789208004834e-01,7.489126898266938726e-03
4.391800892596086081e-01,7.593400069478765772e-03
4.422273980505899149e-01,7.699124836832104378e-03
4.452958509942655518e-01,7.806321401666476735e-03
4.483855948021187587e-01,7.915010246272871988e-03
4.514967772036100890e-01,8.025212137804970877e-03
4.546295469532399269e-01,8.136948132213887158e-03
4.577840538376618529e-01,8.250239578273831087e-03
4.609604486828433600e-01,8.365108121648581405e-03
4.641588833612778631e-01,8.481575709006365649e-03
4.673795107992462228e-01,8.599664592210159303e-03
4.706224849841281754e-01,8.719397332538949760e-03
4.738879609717653318e-01,8.840796805011279583e-03
4.771760948938745805e-01,8.963886202708866088e-03
4.804870439655130054e-01,9.088689041215843728e-03
4.838209664925955944e-01,9.215229163084962330e-03
4.871780218794632411e-01,9.343530742384633866e-03
4.905583706365048147e-01,9.473618289288211064e-03
4.939621743878320759e-01,9.605516654759433878e-03
4.973895958790063854e-01,9.739251035258777653e-03
5.008407989848211450e-01,9.874846977555482366e-03
5.043159487171360311e-01,1.001233038359120552e-02
5.078152112327672940e-01,1.015172751539140591e-02
5.113387538414325695e-01,1.029306500008408433e-02
5.148867450137493140e-01,1.043636983495264264e-02
5.184593543892911383e-01,1.058166939257094118e-02
5.220567527846976530e-01,1.072899142602428725e-02
5.256791122018421580e-01,1.087836407417783549e-02
5.293266058360561743e-01,1.102981586702114075e-02
5.329994080844089321e-01,1.118337573112350436e-02
5.366976945540474775e-01,1.133907299510177741e-02
5.404216420705916235e-01,1.149693739521417436e-02
5.441714286865890760e-01,1.165699908101838767e-02
5.479472336900287344e-01,1.181928862109007071e-02
5.517492376129126130e-01,1.198383700885162495e-02
5.555776222398876030e-01,1.215067566844580185e-02
5.594325706169378520e-01,1.231983646072710298e-02
5.633142670601354318e-01,1.249135168929972270e-02
5.672228971644543982e-01,1.266525410667310517e-02
5.711586478126432498e-01,1.284157692046959329e-02
5.751217071841612238e-01,1.302035379974949246e-02
5.791122647641759880e-01,1.320161888139763200e-02
5.831305113526221717e-01,1.338540677661171317e-02
5.871766390733255125e-01,1.357175257747888358e-02
5.912508413831878418e-01,1.376069186363460158e-02
5.953533130814369079e-01,1.395226070903066683e-02
5.994842503189410365e-01,1.414649568877180547e-02
6.036438506075867405e-01,1.434343388607272826e-02
6.078323128297229427e-01,1.454311289928731862e-02
6.120498372476699256e-01,1.474557084905609057e-02
6.162966255132941162e-01,1.495084638553707476e-02
6.205728806776501516e-01,1.515897869573540162e-02
6.248788072006891126e-01,1.537000751095453539e-02
6.292146109610343707e-01,1.558397311431703076e-02
6.335804992658250478e-01,1.580091634842778481e-02
6.379766808606280870e-01,1.602087862309495639e-02
6.424033659394192686e-01,1.624390192321229637e-02
6.468607661546326160e-01,1.647002881670264762e-02
6.513490946272803006e-01,1.669930246259556869e-02
6.558685659571431570e-01,1.693176661921388243e-02
6.604193962330303647e-01,1.716746565246317011e-02
6.650018030431119609e-01,1.740644454423754747e-02
6.696160054853220744e-01,1.764874890096260543e-02
6.742622241778342129e-01,1.789442496222728995e-02
6.789406812696109350e-01,1.814351960952944806e-02
6.836516004510236888e-01,1.839608037518303263e-02
6.883952069645498106e-01,1.865215545130195079e-02
6.931717276155405782e-01,1.891179369894705614e-02
6.979813907830659803e-01,1.917504465734740093e-02
7.028244264308348699e-01,1.944195855331687026e-02
7.077010661181887263e-01,1.971258631073304415e-02
7.126115430111746862e-01,1.998697956018206587e-02
7.175560918936926269e-01,2.026519064874609741e-02
7.225349491787214085e-01,2.054727264987918356e-02
7.275483529196228316e-01,2.083327937347140280e-02
7.325965428215229780e-01,2.112326537601438153e-02
7.376797602527732645e-01,2.141728597091977285e-02
7.427982482564916555e-01,2.171539723898477381e-02
7.479522515621821466e-01,2.201765603898111351e-02
7.531420165974371805e-01,2.232412001840967941e-02
7.583677914997191127e-01,2.263484762440494055e-02
7.636298261282243871e-01,2.294989811474851260e-02
7.689283720758310903e-01,2.326933156908959216e-02
7.742636826811269968e-01,2.359320890028344594e-02
7.796360130405233235e-01,2.392159186588987962e-02
7.850456200204509738e-01,2.425454307983901034e-02
7.904927622696422684e-01,2.459212602423901939e-02
7.959777002314983863e-01,2.493440506135805729e-02
8.015006961565405152e-01,2.528144544578773273e-02
8.070620141149503768e-01,2.563331333671841489e-02
8.126619200091945716e-01,2.599007581044331799e-02
8.183006815867391870e-01,2.635180087298319429e-02
8.239785684528517784e-01,2.671855747292537983e-02
8.296958520834906148e-01,2.709041551440949380e-02
8.354528058382867384e-01,2.746744587029581811e-02
8.412497049736118448e-01,2.784972039551005321e-02
8.470868266557404214e-01,2.823731194059093258e-02
8.529644499741022567e-01,2.863029436538438652e-02
8.588828559546252128e-01,2.902874255297596684e-02
8.648423275731722537e-01,2.943273242374378623e-02
8.708431497690723999e-01,2.984234094967554846e-02
8.768856094587428318e-01,3.025764616882026595e-02
8.829699955494089147e-01,3.067872719997790168e-02
8.890965989529160396e-01,3.110566425756292747e-02
8.952657125996396070e-01,3.153853866667564315e-02
9.014776314524917122e-01,3.197743287838463594e-02
9.077326525210226427e-01,3.242243048521566140e-02
9.140310748756229620e-01,3.287361623684064565e-02
9.203731996618222944e-01,3.333107605597764034e-02
9.267593301146878071e-01,3.379489705452966286e-02
9.331897715733238341e-01,3.426516754990809738e-02
9.396648314954693104e-01,3.474197708160889353e-02
9.461848194721999006e-01,3.522541642797939743e-02
9.527500472427292699e-01,3.571557762324793772e-02
9.593608287093141618e-01,3.621255397474813786e-02
9.660174799522646127e-01,3.671644008040245849e-02
9.727203192450539770e-01,3.722733184642939425e-02
9.794696670695393070e-01,3.774532650527546301e-02
9.862658461312823199e-01,3.827052263383053099e-02
9.931091813749796104e-01,3.880302017183528962e-02
1.000000000000000000e+00,3.934292044057211002e-02
1.006938631476027579e+00,3.989032616179972318e-02
1.013925407558815328e+00,4.044534147692706305e-02
1.020960662306046540e+00,4.100807196646918951e-02
1.028044732093309266e+00,4.157862466974784899e-02
1.035177955630176339e+00,4.215710810483733195e-02
1.042360673976401753e+00,4.274363228883333587e-02
1.049593230558227619e+00,4.333830875833408897e-02
1.056875971184803920e+00,4.394125059022283009e-02
1.064209244064724169e+00,4.455257242271963569e-02
1.071593399822671211e+00,4.517239047673777402e-02
1.079028791516184249e+00,4.580082257747992297e-02
1.086515774652538457e+00,4.643798817636310416e-02
1.094054707205742494e+00,4.708400837320761423e-02
1.101645949633656363e+00,4.773900593874411125e-02
1.109289864895222744e+00,4.840310533740289911e-02
1.116986818467823106e+00,4.907643275040497050e-02
1.124737178364751955e+00,4.975911609917431366e-02
1.132541315152811423e+00,5.045128506904120180e-02
1.140399601970032428e+00,5.115307113327496880e-02
1.148312414543511073e+00,5.186460757742165223e-02
1.156280131207376050e+00,5.258602952398114261e-02
1.164303132920876838e+00,5.331747395737994333e-02
1.172381803286598467e+00,5.405907974929701626e-02
1.180516528568804846e+00,5.481098768432944579e-02
1.188707697711903322e+00,5.557334048595559406e-02
1.196955702359043361e+00,5.634628284289165678e-02
1.205260936870842681e+00,5.712996143574741031e-02
1.213623798344240612e+00,5.792452496406154394e-02
1.222044686631488020e+00,5.873012417367801108e-02
1.230524004359261570e+00,5.954691188448221068e-02
1.239062156947916327e+00,6.037504301848319738e-02
1.247659552630869806e+00,6.121467462830468276e-02
1.256316602474120803e+00,6.206596592599067375e-02
1.265033720395903227e+00,6.292907831223586157e-02
1.273811323186478495e+00,6.380417540594676695e-02
1.282649830528060475e+00,6.469142307423209060e-02
1.291549665014884107e+00,6.559098946274705133e-02
1.300511252173409238e+00,6.650304502644638349e-02
1.309535020482667012e+00,6.742776256071804364e-02
1.318621401394748593e+00,6.836531723294667073e-02
1.327770829355429782e+00,6.931588661443663368e-02
1.336983741824946614e+00,7.027965071279491938e-02
1.346260579298910409e+00,7.125679200468275354e-02
1.355601785329368258e+00,7.224749546902253794e-02
1.365007806546013835e+00,7.325194862059371259e-02
1.374479092677537428e+00,7.427034154409620226e-02
1.384016096573131627e+00,7.530286692859967934e-02
1.393619274224142668e+00,7.634972010245906493e-02
1.403289084785872332e+00,7.741109906866569523e-02
1.413025990599533710e+00,7.848720454064581076e-02
1.422830457214352640e+00,7.957823997850596576e-02
1.432702953409831004e+00,8.068441162571589331e-02
1.442643951218158138e+00,8.180592854629138710e-02
1.452653925946780555e+00,8.294300266240023367e-02
1.462733356201129986e+00,8.409584879245393663e-02
1.472882723907502633e+00,8.526468468968226300e-02
1.483102514336104516e+00,8.644973108115786009e-02
1.493393216124252687e+00,8.765121170734205269e-02
1.503755321299737657e+00,8.886935336207074654e-02
1.514189325304351907e+00,9.010438593306918653e-02
1.524695727017573832e+00,9.135654244294237614e-02
1.535275028780422657e+00,9.262605909067229970e-02
1.545927736419477672e+00,9.391317529362978866e-02
1.556654359271061328e+00,9.521813373005359737e-02
1.567455410205595090e+00,9.654118038211484398e-02
1.578331405652117381e+00,9.788256457941399424e-02
1.589282865622978047e+00,9.924253904307625551e-02
1.600310313738700918e+00,1.006213599303206058e-01
1.611414277253019112e+00,1.020192868795877922e-01
1.622595287078087090e+00,1.034365830561692623e-01
1.633853877809861244e+00,1.048735151984351299e-01
1.645190587753662559e+00,1.063303536645340552e-01
1.656605958949914470e+00,1.078073724796802524e-01
1.668100537200059241e+00,1.093048493839912649e-01
1.679674872092653093e+00,1.108230658808523617e-01
1.691329517029647844e+00,1.123623072858700722e-01
1.703065029252844420e+00,1.139228627763593515e-01
1.714881969870539979e+00,1.155050254414212441e-01
1.726780903884356011e+00,1.171090923325454614e-01
1.738762400216250503e+00,1.187353645148472164e-01
1.750827031735724182e+00,1.203841471188100837e-01
1.762975375287205715e+00,1.220557493926433673e-01
1.775208011717635204e+00,1.237504847552299697e-01
1.787525525904235524e+00,1.254686708495922065e-01
1.799928506782476401e+00,1.272106295970390766e-01
1.812417547374236770e+00,1.289766872517986718e-01
1.824993244816152327e+00,1.307671744563040916e-01
1.837656200388171568e+00,1.325824262970425604e-01
1.850407019542302134e+00,1.344227823610046890e-01
1.863246311931559873e+00,1.362885867927185746e-01
1.876174691439120412e+00,1.381801883518751495e-01
1.889192776207666347e+00,1.400979404715531895e-01
1.902301188668944709e+00,1.420422013170403730e-01
1.915500555573527830e+00,1.440133338452303513e-01
1.928791508020777812e+00,1.460117058646360211e-01
1.942174681489025501e+00,1.480376900959707587e-01
1.955650715865949074e+00,1.500916642333595674e-01
1.969220255479172454e+00,1.521740110060931239e-01
1.982883949127071332e+00,1.542851182409960553e-01
1.996642450109793465e+00,1.564253789253912397e-01
2.010496416260497909e+00,1.585951912706209943e-01
2.024446509976803643e+00,1.607949587761708932e-01
2.038493398252463340e+00,1.630250902943579661e-01
2.052637752709252084e+00,1.652860000955925779e-01
2.066880249629082122e+00,1.675781079342158753e-01
2.081221569986338338e+00,1.699018391148956753e-01
2.095662399480433091e+00,1.722576245595685007e-01
2.110203428568595552e+00,1.746459008749544350e-01
2.124845352498883067e+00,1.770671104205869817e-01
2.139588871343421683e+00,1.795217013773971471e-01
2.154434690031883370e+00,1.820101278168207437e-01
2.169383518385184395e+00,1.845328497704221693e-01
2.184436071149427505e+00,1.870903333000085711e-01
2.199593068030074594e+00,1.896830505682680634e-01
2.214855233726359174e+00,1.923114799098599725e-01
2.230223297965937324e+00,1.949761059030026278e-01
2.245697995539774006e+00,1.976774194414893659e-01
2.261280066337278516e+00,2.004159178071800440e-01
2.276970255381680186e+00,2.031921047428702776e-01
2.292769312865650111e+00,2.060064905256170364e-01
2.308677994187168458e+00,2.088595920404187900e-01
2.324697059985648018e+00,2.117519328542716572e-01
2.340827276178293115e+00,2.146840432905811058e-01
2.357069413996727647e+00,2.176564605038885658e-01
2.373424250023867366e+00,2.206697285549101273e-01
2.389892566231048843e+00,2.237243984858312829e-01
2.406475150015424003e+00,2.268210283958696782e-01
2.423172794237599348e+00,2.299601835170438924e-01
2.439986297259550074e+00,2.331424362901324543e-01
2.456916462982791316e+00,2.363683664407880691e-01
2.473964100886812734e+00,2.396385610557713874e-01
2.491130026067788439e+00,2.429536146592793378e-01
2.508415059277540049e+00,2.463141292892977174e-01
2.525820026962784848e+00,2.497207145739777367e-01
2.543345761304649510e+00,2.531739878079633521e-01
2.560993100258458277e+00,2.566745740286378030e-01
2.578762887593800901e+00,2.602231060922191030e-01
2.596655972934871048e+00,2.638202247497183905e-01
2.614673211801092023e+00,2.674665787225858904e-01
2.632815465648021380e+00,2.711628247781338596e-01
2.651083601908537535e+00,2.749096278045607966e-01
2.669478494034320804e+00,2.787076608855599269e-01
2.688001021537606228e+00,2.825576053744638938e-01
2.706652070033241486e+00,2.864601509677995872e-01
2.725432531281029025e+00,2.904159957782475598e-01
2.744343303228363951e+00,2.944258464068697512e-01
2.763385290053169907e+00,2.984904180145423469e-01
2.782559402207124499e+00,3.026104343925318796e-01
2.801866556459195134e+00,3.067866280320864503e-01
2.821307675939472404e+00,3.110197401929571392e-01
2.840883690183302779e+00,3.153105209707845469e-01
2.860595535175741944e+00,3.196597293631702752e-01
2.880444153396296336e+00,3.240681333343954362e-01
2.900430493863991543e+00,3.285365098786338089e-01
2.920555512182746671e+00,3.330656450815298042e-01
2.940820170587062243e+00,3.376563341800389306e-01
2.961225437988034503e+00,3.423093816203659490e-01
2.981772290019671701e+00,3.470256011138798113e-01
3.002461709085549213e+00,3.518058156908364653e-01
3.023294684405777755e+00,3.566508577517796819e-01
3.044272212064302874e+00,3.615615691164020262e-01
3.065395295056526859e+00,3.665388010697738785e-01
3.086664943337273037e+00,3.715834144056714972e-01
3.108082173869064047e+00,3.766962794668687331e-01
3.129648010670751823e+00,3.818782761821490901e-01
3.151363484866479325e+00,3.871302940998976871e-01
3.173229634734976212e+00,3.924532324179683673e-01
3.195247505759212014e+00,3.978480000096333846e-01
3.217418150676371713e+00,4.033155154453764712e-01
3.239742629528197249e+00,4.088567070102586132e-01
3.262222009711670090e+00,4.144725127166032919e-01
3.284857366030043746e+00,4.201638803116979348e-01
3.307649780744240875e+00,4.259317672802286348e-01
3.330600343624588788e+00,4.317771408411393841e-01
3.353710152002930656e+00,4.377009779385879762e-01
3.376980310825091536e+00,4.437042652266523501e-01
3.400411932703705897e+00,4.497879990474389356e-01
3.424006137971423946e+00,4.559531854021864894e-01
3.447764054734464345e+00,4.622008399150435709e-01
3.471686818926561280e+00,4.685319877890082862e-01
3.495775574363275240e+00,4.749476637536736434e-01
3.520031472796679051e+00,4.814489120042930170e-01
3.544455673970433818e+00,4.880367861316919909e-01
3.569049345675229468e+00,4.947123490425367476e-01
3.593813663804627634e+00,5.014766728693973441e-01
3.618749812411280242e+00,5.083308388701244240e-01
3.643858983763544224e+00,5.152759373159053746e-01
3.669142378402491911e+00,5.223130673673990199e-01
3.694601205199302463e+00,5.294433369383606536e-01
3.720236681413067625e+00,5.366678625460408192e-01
3.746050032748993175e+00,5.439877691477031929e-01
3.772042493416997377e+00,5.514041899624849696e-01
3.798215306190734442e+00,5.589182662779015320e-01
3.824569722466999000e+00,5.665311472401119985e-01
3.851107002325570683e+00,5.742439896271711586e-01
3.877828414589457484e+00,5.820579576043631853e-01
3.904735236885560123e+00,5.899742224606767671e-01
3.931828755705768064e+00,5.979939623254894032e-01
3.959110266468458761e+00,6.061183618643755100e-01
3.986581073580441004e+00,6.143486119530985334e-01
4.014242490499322358e+00,6.226859093285174174e-01
4.042095839796307821e+00,6.311314562153549357e-01
4.070142453219436796e+00,6.396864599275681185e-01
4.098383671757261482e+00,6.483521324429958321e-01
4.126820845702954266e+00,6.571296899500012056e-01
4.155455334718875626e+00,6.660203523646617274e-01
4.184288507901582577e+00,6.750253428170133185e-01
4.213321743847286527e+00,6.841458871048469170e-01
4.242556430717777438e+00,6.933832131133781385e-01
4.271993966306778745e+00,7.027385501991370020e-01
4.301635758106795215e+00,7.122131285362559572e-01
4.331483223376400460e+00,7.218081784233126852e-01
4.361537789208003169e+00,7.315249295487429304e-01
4.391800892596085859e+00,7.413646102128248483e-01
4.422273980505899260e+00,7.513284465039959947e-01
4.452958509942654963e+00,7.614176614273713284e-01
4.483855948021188809e+00,7.716334739829626699e-01
4.514967772036099447e+00,7.819770981912796959e-01
4.546295469532399380e+00,7.924497420636003042e-01
4.577840538376618973e+00,8.030526065142566949e-01
4.609604486828433600e+00,8.137868842121307456e-01
4.641588833612779297e+00,8.246537583682991279e-01
4.673795107992461340e+00,8.356544014568236811e-01
4.706224849841281532e+00,8.467899738653381636e-01
4.738879609717653096e+00,8.580616224720909457e-01
4.771760948938745805e+00,8.694704791458449655e-01
4.804870439655131165e+00,8.810176591648998246e-01
4.838209664925955167e+00,8.927042595513684509e-01
4.871780218794630635e+00,9.045313573165647547e-01
4.905583706365048258e+00,9.165000076132934215e-01
4.939621743878320537e+00,9.286112417905334482e-01
4.973895958790064853e+00,9.408660653458477130e-01
5.008407989848209674e+00,9.532654557706758958e-01
5.043159487171358535e+00,9.658103602833444379e-01
5.078152112327673606e+00,9.785016934445296410e-01
5.113387538414325917e+00,9.913403346495563984e-01
5.148867450137495361e+00,1.004327125491748740e+00
5.184593543892910716e+00,1.017462866990749726e+00
5.220567527846974976e+00,1.030748316679482190e+00
5.256791122018421802e+00,1.044184185543125754e+00
5.293266058360561743e+00,1.057771134803248358e+00
5.329994080844090654e+00,1.071509772539898098e+00
5.366976945540476329e+00,1.085400650144137780e+00
5.404216420705915347e+00,1.099444258593266666e+00
5.441714286865890315e+00,1.113641024540594993e+00
5.479472336900286678e+00,1.127991306211323375e+00
5.517492376129125908e+00,1.142495389095719904e+00
5.555776222398877806e+00,1.157153481430511555e+00
